method,group,n_samples,n_turns,total_new_tokens,total_wall_time,total_draft_time,total_target_time,MAT,draft_accept_mean,speedup_paired,speedup_global
baseline,ALL,60,69,7264,180.67618918418884,0.0,177.82755079935305,1.0,nan,1.0,1.0
eagle,ALL,60,69,7253,166.8049533367157,18.692101200285833,136.75132425519405,1.76386186770428,0.7638618677042801,1.0567501991012243,1.081518171481483
eagle_SAGE-abs-100,ALL,60,69,7253,166.4029655456543,18.479238881962374,136.7678897329606,1.763433017262339,0.7634330172623389,1.0594152038999483,1.0841308478801337
eagle_SAGE-topk_ratio-0.1,ALL,60,69,7253,165.4486129283905,18.207533947424963,136.39807401644066,1.76386186770428,0.7638618677042801,1.066355666658982,1.0903844095982886
msd,ALL,60,69,7216,82.99801707267761,10.831944046995886,60.868982624982436,4.788321167883212,3.679689405450144,1.8655384612959003,2.16248893637761
vispec_vskip,ALL,60,69,7372,82.1156747341156,8.47906421796688,67.88508431601076,4.006521739130434,3.006521739130435,1.9306119838375038,2.2329775004005104
